-- table name
特別登録馬	SpecialRegisteredHorses
騎手見習コード	apprenticeJockeyCode
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
変更後 発走時刻	newStartTime
変更前 発走時刻	oldStartTime
データ区分	dataCategory
データ作成年月日	creationDate
開催年	eventYear
開催月日	eventMonthDay
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
発表月日時分	announcementDateTime
変更後 距離	newDistance
変更後 トラックコード	newTrackCode
変更前 距離	oldDistance
変更前 トラックコード	oldTrackCode
事由区分	reasonCategory
-- sub column name
連番	sequenceNumber
血統登録番号	bloodlineNumber
馬名	horseName
馬記号コード	horseSymbolCode
性別コード	genderCode
調教師東西所属コード	trainerRegionAffiliationCode
調教師コード	trainerCode
調教師名略称	trainerNameAbbreviation
負担重量	carriedWeight
交流区分	interactionCategory
本賞金	mainPrizeMoney
変更前本賞金	previousPrizeMoney
付加賞金	additionalPrizeMoney
変更前付加賞金	previousAdditionalPrizeMoney
ラップタイム	lapTime
コーナー	corner
周回数	lapNumber
各通過順位	individualPassingOrder
血統登録番号	bloodlineNumber
返還馬番情報(馬番01～28)	refundHorseNumberInfo
返還枠番情報(枠番1～8)	refundBracketNumberInfo
返還同枠情報(枠番1～8)	refundSameBracketInfo
馬番	horseNumberWin
払戻金	payoutAmountWin
人気順	popularityWin
馬番	horseNumberPlace
払戻金	payoutAmountPlace
人気順	popularityPlace
組番	combinationBracketQuinella
払戻金	payoutAmountBracketQuinella
人気順	popularityBracketQuinella
組番	combinationQuinella
払戻金	payoutAmountQuinella
人気順	popularityQuinella
組番	combinationWide
払戻金	payoutAmountWide
人気順	popularityWide
組番	combinationExacta
払戻金	payoutAmountExacta
人気順	popularityExacta
組番	combinationTrio
払戻金	payoutAmountTrio
人気順	popularityTrio
組番	combinationTrifecta
払戻金	payoutAmountTrifecta
人気順	popularityTrifecta
返還馬番情報(馬番01～28)	refundHorseNumberInfo
返還枠番情報(枠番1～8)	refundBracketNumberInfo
返還同枠情報(枠番1～8)	refundSameBracketInfo
馬番	horseNumberWin
票数	votesWin
人気順	popularityWin
馬番	horseNumberPlace
票数	votesPlace
人気順	popularityPlace
組番	combinationBracketQuinella
票数	votesBracketQuinella
人気順	popularityBracketQuinella
組番	combinationQuinella
票数	votesQuinella
人気順	popularityQuinella
組番	combinationWide
票数	votesWide
人気順	popularityWide
組番	combinationExacta
票数	votesExacta
人気順	popularityExacta
組番	combinationTrio
票数	votesTrio
人気順	popularityTrio
返還馬番情報(馬番01～18)	refundHorseNumberInfo
組番	combination
票数	votes
人気順	popularity
馬番	horseNumberWin
オッズ	oddsWin
人気順	popularityWin
馬番	horseNumberPlace
最低オッズ	minOddsPlace
最高オッズ	maxOddsPlace
人気順	popularityPlace
組番	combinationBracketQuinella
オッズ	oddsBracketQuinella
人気順	popularityBracketQuinella
組番	combination
オッズ	odds
人気順	popularity
組番	combination
最低オッズ	minOdds
最高オッズ	maxOdds
人気順	popularity
組番	combination
オッズ	odds
人気順	popularity
組番	combination
オッズ	odds
人気順	popularity
組番	combination
オッズ	odds
人気順	popularity
繁殖登録番号	breedingRegistrationNumber
総合着回数	totalPlacementCount
中央合計着回数	centralTotalPlacementCount
芝直・着回数	turfStraightPlacementCount
芝右・着回数	turfRightPlacementCount
芝左・着回数	turfLeftPlacementCount
ダ直・着回数	dirtStraightPlacementCount
ダ右・着回数	dirtRightPlacementCount
ダ左・着回数	dirtLeftPlacementCount
障害・着回数	obstaclePlacementCount
芝良・着回数	turfGoodPlacementCount
芝稍・着回数	turfSlightlyHeavyPlacementCount
芝重・着回数	turfHeavyPlacementCount
芝不・着回数	turfBadPlacementCount
ダ良・着回数	dirtGoodPlacementCount
ダ稍・着回数	dirtSlightlyHeavyPlacementCount
ダ重・着回数	dirtHeavyPlacementCount
ダ不・着回数	dirtBadPlacementCount
障良・着回数	obstacleGoodPlacementCount
障稍・着回数	obstacleSlightlyHeavyPlacementCount
障重・着回数	obstacleHeavyPlacementCount
障不・着回数	obstacleBadPlacementCount
芝16下・着回数	turfUnder16PlacementCount
芝22下・着回数	turfUnder22PlacementCount
芝22超・着回数	turfOver22PlacementCount
ダ16下・着回数	dirtUnder16PlacementCount
ダ22下・着回数	dirtUnder22PlacementCount
ダ22超・着回数	dirtOver22PlacementCount
脚質傾向	runningStyleTendency
年月日場回日R	datePlaceDayR
出走頭数	numberOfRunners
血統登録番号	bloodlineNumber
確定着順	confirmedPlacement
異常区分コード	abnormalityCode
年月日場回日R	datePlaceDayR
出走頭数	numberOfRunners
血統登録番号	bloodlineNumber
年月日場回日R	datePlaceDayR
競走名本題	raceName
競走名略称10文字	raceNameAbbr10
競走名略称6文字	raceNameAbbr6
競走名略称3文字	raceNameAbbr3
グレードコード	gradeCode
出走頭数	numberOfRunners
血統登録番号	bloodlineNumber
設定年	settingYear
平地本賞金合計	flatMainPrizeMonayTotal
障害本賞金合計	obstacleMainPrizeMoneyTotal
平地付加賞金合計	flatAdditionalPrizeMoneyTotal
障害付加賞金合計	obstacleAdditionalPrizeMoneyTotal
平地着回数	flatPlacementCount
障害着回数	obstaclePlacementCount
札幌平地着回数	sapporoFlatPlacementCounts
札幌障害着回数	sapporoSteeplechasePlacementCounts
函館平地着回数	hakodateFlatPlacementCount
函館障害着回数	hakodateSteeplechasePlacementCount
福島平地着回数	fukushimaFlatPlacementCounts
福島障害着回数	fukushimaSteeplechasePlacementCounts
新潟平地着回数	niigataFlatPlacementCounts
新潟障害着回数	niigataSteeplechasePlacementCounts
東京平地着回数	tokyoFlatPlacementCount
東京障害着回数	tokyoSteeplechasePlacementCount
中山平地着回数	nakayamaFlatPlacementCount
中山障害着回数	nakayamaSteeplechasePlacementCount
中京平地着回数	chukyoFlatPlacementCount
中京障害着回数	chukyoSteeplechasePlacementCount
京都平地着回数	kyotoFlatPlacementCounts
京都障害着回数	kyotoObstaclePlacementCounts
阪神平地着回数	hanshinFlatPlacementCounts
阪神障害着回数	hanshinSteeplechasePlacementCounts
小倉平地着回数	kokuraFlatPlacementCount
小倉障害着回数	kokuraSteeplechasePlacementCount
芝16下・着回数	turfUnder16PlacementCount
芝22下・着回数	turfUnder22PlacementCount
芝22超・着回数	turfOver22PlacementCount
ダ16下・着回数	dirtUnder16PlacementCount
ダ22下・着回数	dirtUnder22PlacementCount
ダ22超・着回数	dirtOver22PlacementCount
年月日場回日R	datePlaceDayR
競走名本題	raceName
競走名略称10文字	raceNameAbbr10
競走名略称6文字	raceNameAbbr6
競走名略称3文字	raceNameAbbr3
グレードコード	gradeCode
出走頭数	numberOfRunners
血統登録番号	bloodlineNumber
設定年	settingYear
平地本賞金合計	flatMainPrizeMonayTotal
障害本賞金合計	obstacleMainPrizeMoneyTotal
平地付加賞金合計	flatAdditionalPrizeMoneyTotal
障害付加賞金合計	obstacleAdditionalPrizeMoneyTotal
平地着回数	flatPlacementCount
障害着回数	obstaclePlacementCount
札幌平地着回数	sapporoFlatPlacementCounts
札幌障害着回数	sapporoSteeplechasePlacementCounts
函館平地着回数	hakodateFlatPlacementCount
函館障害着回数	hakodateSteeplechasePlacementCount
福島平地着回数	fukushimaFlatPlacementCounts
福島障害着回数	fukushimaSteeplechasePlacementCounts
新潟平地着回数	niigataFlatPlacementCounts
新潟障害着回数	niigataSteeplechasePlacementCounts
東京平地着回数	tokyoFlatPlacementCount
東京障害着回数	tokyoSteeplechasePlacementCount
中山平地着回数	nakayamaFlatPlacementCount
中山障害着回数	nakayamaSteeplechasePlacementCount
中京平地着回数	chukyoFlatPlacementCount
中京障害着回数	chukyoSteeplechasePlacementCount
京都平地着回数	kyotoFlatPlacementCounts
京都障害着回数	kyotoObstaclePlacementCounts
阪神平地着回数	hanshinFlatPlacementCounts
阪神障害着回数	hanshinSteeplechasePlacementCounts
小倉平地着回数	kokuraFlatPlacementCount
小倉障害着回数	kokuraSteeplechasePlacementCount
芝16下・着回数	turfUnder16PlacementCount
芝22下・着回数	turfUnder22PlacementCount
芝22超・着回数	turfOver22PlacementCount
ダ16下・着回数	dirtUnder16PlacementCount
ダ22下・着回数	dirtUnder22PlacementCount
ダ22超・着回数	dirtOver22PlacementCount
設定年	settingYear
本賞金合計	mainPrizeMoneyTotal
付加賞金合計	additionalPrizeMoneyTotal
着回数	PlacementCount
設定年	settingYear
本賞金合計	mainPrizeMoneyTotal
付加賞金合計	additionalPrizeMoneyTotal
着回数	PlacementCount
総合着回数	totalPlacementCount
中央合計着回数	centralTotalPlacementCount
芝直・着回数	turfStraightPlacementCount
芝右・着回数	turfRightPlacementCount
芝左・着回数	turfLeftPlacementCount
ダ直・着回数	dirtStraightPlacementCount
ダ右・着回数	dirtRightPlacementCount
ダ左・着回数	dirtLeftPlacementCount
障害・着回数	obstaclePlacementCount
芝良・着回数	turfGoodPlacementCount
芝稍・着回数	turfSlightlyHeavyPlacementCount
芝重・着回数	turfHeavyPlacementCount
芝不・着回数	turfBadPlacementCount
ダ良・着回数	dirtGoodPlacementCount
ダ稍・着回数	dirtSlightlyHeavyPlacementCount
ダ重・着回数	dirtHeavyPlacementCount
ダ不・着回数	dirtBadPlacementCount
障良・着回数	obstacleGoodPlacementCount
障稍・着回数	obstacleSlightlyHeavyPlacementCount
障重・着回数	obstacleHeavyPlacementCount
障不・着回数	obstacleBadPlacementCount
芝1200以下・着回数	turf1200OrLessPlacementCounts
芝1201-1400・着回数	turf1201To1400PlacementCounts
芝1401-1600・着回数	turf1401To1600PlacementCounts
芝1601-1800・着回数	turf1601To1800PlacementCounts
芝1801-2000・着回数	turf1801To2000PlacementCounts
芝2001-2200・着回数	turf2001To2200PlacementCounts
芝2201-2400・着回数	turf2201To2400PlacementCounts
芝2401-2800・着回数	turf2401To2800PlacementCounts
芝2801以上・着回数	turf2801OrMorePlacementCounts
ダ1200以下・着回数	dirt1200OrLessPlacementCount
ダ1201-1400・着回数	dirt1201To1400PlacementCount
ダ1401-1600・着回数	dirt1401To1600PlacementCount
ダ1601-1800・着回数	dirt1601To1800PlacementCount
ダ1801-2000・着回数	dirt1801To2000PlacementCount
ダ2001-2200・着回数	dirt2001To2200PlacementCount
ダ2201-2400・着回数	dirt2201To2400PlacementCount
ダ2401-2800・着回数	dirt2401To2800PlacementCount
ダ2801以上・着回数	dirt2801OrMorePlacementCount
札幌芝・着回数	sapporoTurfPlacementCounts
函館芝・着回数	hakodateTurfPlacementCount
福島芝・着回数	fukushimaTurfPlacementCounts
新潟芝・着回数	niigataTurfPlacementCounts
東京芝・着回数	tokyoTurfPlacementCount
中山芝・着回数	nakayamaTurfPlacementCount
中京芝・着回数	chukyoTurfPlacementCount
京都芝・着回数	kyotoTurfPlacementCounts
阪神芝・着回数	hanshinTurfPlacementCounts
小倉芝・着回数	kokuraTurfPlacementCount
札幌ダ・着回数	sapporoDirtPlacementCounts
函館ダ・着回数	hakodateDirtPlacementCount
福島ダ・着回数	fukushimaDirtPlacementCounts
新潟ダ・着回数	niigataDirtPlacementCounts
東京ダ・着回数	tokyoDirtPlacementCount
中山ダ・着回数	nakayamaDirtPlacementCount
中京ダ・着回数	chukyoDirtPlacementCount
京都ダ・着回数	kyotoDirtPlacementCounts
阪神ダ・着回数	hanshinDirtPlacementCounts
小倉ダ・着回数	kokuraDirtPlacementCount
札幌障・着回数	sapporoObstaclePlacementCounts
函館障・着回数	hakodateObstaclePlacementCount
福島障・着回数	fukushimaObstaclePlacementCounts
新潟障・着回数	niigataObstaclePlacementCounts
東京障・着回数	tokyoObstaclePlacementCount
中山障・着回数	nakayamaObstaclePlacementCount
中京障・着回数	chukyoObstaclePlacementCount
京都障・着回数	kyotoObstaclePlacementCounts
阪神障・着回数	hanshinObstaclePlacementCounts
小倉障・着回数	kokuraObstaclePlacementCount
脚質傾向	runningStyleTendency
設定年	settingYear
平地本賞金合計	flatMainPrizeMonayTotal
障害本賞金合計	obstacleMainPrizeMoneyTotal
平地付加賞金合計	flatAdditionalPrizeMoneyTotal
障害付加賞金合計	obstacleAdditionalPrizeMoneyTotal
芝着回数	turfPlacementCounts
ダート着回数	dirtPlacementCount
障害着回数	obstaclePlacementCount
芝1200以下・着回数	turf1200OrLessPlacementCounts
芝1201-1400・着回数	turf1201To1400PlacementCounts
芝1401-1600・着回数	turf1401To1600PlacementCounts
芝1601-1800・着回数	turf1601To1800PlacementCounts
芝1801-2000・着回数	turf1801To2000PlacementCounts
芝2001-2200・着回数	turf2001To2200PlacementCounts
芝2201-2400・着回数	turf2201To2400PlacementCounts
芝2401-2800・着回数	turf2401To2800PlacementCounts
芝2801以上・着回数	turf2801OrMorePlacementCounts
ダ1200以下・着回数	dirt1200OrLessPlacementCount
ダ1201-1400・着回数	dirt1201To1400PlacementCount
ダ1401-1600・着回数	dirt1401To1600PlacementCount
ダ1601-1800・着回数	dirt1601To1800PlacementCount
ダ1801-2000・着回数	dirt1801To2000PlacementCount
ダ2001-2200・着回数	dirt2001To2200PlacementCount
ダ2201-2400・着回数	dirt2201To2400PlacementCount
ダ2401-2800・着回数	dirt2401To2800PlacementCount
ダ2801以上・着回数	dirt2801OrMorePlacementCount
札幌芝・着回数	sapporoTurfPlacementCounts
函館芝・着回数	hakodateTurfPlacementCount
福島芝・着回数	fukushimaTurfPlacementCounts
新潟芝・着回数	niigataTurfPlacementCounts
東京芝・着回数	tokyoTurfPlacementCount
中山芝・着回数	nakayamaTurfPlacementCount
中京芝・着回数	chukyoTurfPlacementCount
京都芝・着回数	kyotoTurfPlacementCounts
阪神芝・着回数	hanshinTurfPlacementCounts
小倉芝・着回数	kokuraTurfPlacementCount
札幌ダ・着回数	sapporoDirtPlacementCounts
函館ダ・着回数	hakodateDirtPlacementCount
福島ダ・着回数	fukushimaDirtPlacementCounts
新潟ダ・着回数	niigataDirtPlacementCounts
東京ダ・着回数	tokyoDirtPlacementCount
中山ダ・着回数	nakayamaDirtPlacementCount
中京ダ・着回数	chukyoDirtPlacementCount
京都ダ・着回数	kyotoDirtPlacementCounts
阪神ダ・着回数	hanshinDirtPlacementCounts
小倉ダ・着回数	kokuraDirtPlacementCount
札幌障・着回数	sapporoObstaclePlacementCounts
函館障・着回数	hakodateObstaclePlacementCount
福島障・着回数	fukushimaObstaclePlacementCounts
新潟障・着回数	niigataObstaclePlacementCounts
東京障・着回数	tokyoObstaclePlacementCount
中山障・着回数	nakayamaObstaclePlacementCount
中京障・着回数	chukyoObstaclePlacementCount
京都障・着回数	kyotoObstaclePlacementCounts
阪神障・着回数	hanshinObstaclePlacementCounts
小倉障・着回数	kokuraObstaclePlacementCount
設定年	settingYear
平地本賞金合計	flatMainPrizeMonayTotal
障害本賞金合計	obstacleMainPrizeMoneyTotal
平地付加賞金合計	flatAdditionalPrizeMoneyTotal
障害付加賞金合計	obstacleAdditionalPrizeMoneyTotal
芝着回数	turfPlacementCounts
ダート着回数	dirtPlacementCount
障害着回数	obstaclePlacementCount
芝1200以下・着回数	turf1200OrLessPlacementCounts
芝1201-1400・着回数	turf1201To1400PlacementCounts
芝1401-1600・着回数	turf1401To1600PlacementCounts
芝1601-1800・着回数	turf1601To1800PlacementCounts
芝1801-2000・着回数	turf1801To2000PlacementCounts
芝2001-2200・着回数	turf2001To2200PlacementCounts
芝2201-2400・着回数	turf2201To2400PlacementCounts
芝2401-2800・着回数	turf2401To2800PlacementCounts
芝2801以上・着回数	turf2801OrMorePlacementCounts
ダ1200以下・着回数	dirt1200OrLessPlacementCount
ダ1201-1400・着回数	dirt1201To1400PlacementCount
ダ1401-1600・着回数	dirt1401To1600PlacementCount
ダ1601-1800・着回数	dirt1601To1800PlacementCount
ダ1801-2000・着回数	dirt1801To2000PlacementCount
ダ2001-2200・着回数	dirt2001To2200PlacementCount
ダ2201-2400・着回数	dirt2201To2400PlacementCount
ダ2401-2800・着回数	dirt2401To2800PlacementCount
ダ2801以上・着回数	dirt2801OrMorePlacementCount
札幌芝・着回数	sapporoTurfPlacementCounts
函館芝・着回数	hakodateTurfPlacementCount
福島芝・着回数	fukushimaTurfPlacementCounts
新潟芝・着回数	niigataTurfPlacementCounts
東京芝・着回数	tokyoTurfPlacementCount
中山芝・着回数	nakayamaTurfPlacementCount
中京芝・着回数	chukyoTurfPlacementCount
京都芝・着回数	kyotoTurfPlacementCounts
阪神芝・着回数	hanshinTurfPlacementCounts
小倉芝・着回数	kokuraTurfPlacementCount
札幌ダ・着回数	sapporoDirtPlacementCounts
函館ダ・着回数	hakodateDirtPlacementCount
福島ダ・着回数	fukushimaDirtPlacementCounts
新潟ダ・着回数	niigataDirtPlacementCounts
東京ダ・着回数	tokyoDirtPlacementCount
中山ダ・着回数	nakayamaDirtPlacementCount
中京ダ・着回数	chukyoDirtPlacementCount
京都ダ・着回数	kyotoDirtPlacementCounts
阪神ダ・着回数	hanshinDirtPlacementCounts
小倉ダ・着回数	kokuraDirtPlacementCount
札幌障・着回数	sapporoObstaclePlacementCounts
函館障・着回数	hakodateObstaclePlacementCount
福島障・着回数	fukushimaObstaclePlacementCounts
新潟障・着回数	niigataObstaclePlacementCounts
東京障・着回数	tokyoObstaclePlacementCount
中山障・着回数	nakayamaObstaclePlacementCount
中京障・着回数	chukyoObstaclePlacementCount
京都障・着回数	kyotoObstaclePlacementCounts
阪神障・着回数	hanshinObstaclePlacementCounts
小倉障・着回数	kokuraObstaclePlacementCount
設定年	settingYear
本賞金合計	mainPrizeMoneyTotal
付加賞金合計	additionalPrizeMoneyTotal
着回数	PlacementCount
設定年	settingYear
本賞金合計	mainPrizeMoneyTotal
付加賞金合計	additionalPrizeMoneyTotal
着回数	PlacementCount
血統登録番号	bloodlineNumber
調教師コード	trainerCode
負担重量	carriedWeight
騎手コード	jockeyCode
特別競走番号	specialRaceNumber
競走名本題	raceName
競走名略称10文字	raceNameAbbr10
競走名略称6文字	raceNameAbbr6
競走名略称3文字	raceNameAbbr3
重賞回次[第N回]	gradeCount
グレードコード	gradeCode
競走種別コード	raceTypeCode
競走記号コード	raceSymbolCode
重量種別コード	weightTypeCode
距離	distance
トラックコード	trackCode
馬番	horseNumber
予想走破タイム	predictedTime
予想誤差(信頼度)＋	predictionErrorPlus
予想誤差(信頼度)－	predictionErrorMinus
馬番	horseNumber
予測スコア	predictedScore
競馬場コード	raceCourseCode
開催回[第N回]	eventRound
開催日目[N日目]	eventDay
レース番号	raceNumber
有効票数	validVotes
組番	combination
重勝式払戻金	payoutAmount
的中票数	winningVotes
